abrasion,brand,certifications,cleaningCode,colors,content,finish,horizontalRepeat,image,leadTime,moq,origin,price,railRoaded,sku,pattern,patternType,fabric,theme,use,verticalRepeat,width
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/2001.300.30121.2/1_MidSize.jpg,3,100,Türkiye,0,0,30121,"[""damask""]",burnout,"[""sheer""]",Mystic,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/2001.300.30120.1/1_MidSize.jpg,3,100,Türkiye,0,0,30120,"[""ornate""]",burnout,"[""sheer""]",Mystic,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/2001.300.30119.1/1_MidSize.jpg,3,100,Türkiye,0,0,30119,"[""damask""]",burnout,"[""sheer""]",Mystic,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/2001.300.30118.4/1_MidSize.jpg,3,100,Türkiye,0,0,30118,"[""ornate""]",burnout,"[""sheer""]",Mystic,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/2001.300.30115.1/1_MidSize.jpg,3,100,Türkiye,0,0,30115,"[""damask""]",burnout,"[""sheer""]",Mystic,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/2001.300.30114.1/1_MidSize.jpg,3,100,Türkiye,0,0,30114,"[""kids""]",burnout,"[""sheer""]",Mystic,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/2001.300.30112.1/1_MidSize.jpg,3,100,Türkiye,0,0,30112,"[""kids""]",burnout,"[""sheer""]",Mystic,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/2001.300.30110.1/1_MidSize.jpg,3,100,Türkiye,0,0,30110,"[""kids""]",burnout,"[""sheer""]",Mystic,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/2001.300.30109.14/1_MidSize.jpg,3,100,Türkiye,0,0,30109,"[""kids""]",burnout,"[""sheer""]",Mystic,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/2001.300.30106.24/1_MidSize.jpg,3,100,Türkiye,0,0,30106,"[""kids""]",burnout,"[""sheer""]",Mystic,curtain,0,300
0,Kismet,[],W,['red'],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3005.290.10186.12/1_MidSize.jpg,3,100,Türkiye,0,0,10186,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,['blue'],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3005.300.10185.5/1_MidSize.jpg,3,100,Türkiye,0,0,10185,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3006.300.380001.2/1_MidSize.jpg,3,100,Türkiye,0,0,380001,"[""classic""]",embroidery,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3037.300.3916.1/1_MidSize.jpg,3,100,Türkiye,0,0,3916,"[""hstripe""]",,"[""sheer""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3078.320.540002.V3/1_MidSize.jpg,3,100,Türkiye,0,0,540002,"[""hstripe""]",,"[""sheer""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3124.290.2608.16/1_MidSize.jpg,3,100,Türkiye,0,0,2608,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3078.290.12018.3/1_MidSize.jpg,3,100,Türkiye,0,0,12018,"[""hstripe""]",,"[""sheer""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3124.290.2607.30/1_MidSize.jpg,3,100,Türkiye,0,0,2607,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3078.320.540001.V3/1_MidSize.jpg,3,100,Türkiye,0,0,540001,"[""hstripe""]",,"[""sheer""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3111.330.2081.13/1_MidSize.jpg,3,100,Türkiye,0,0,2081,"[""hstripe""]",,"[""sheer""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3107.290.370548.103/1_MidSize.jpg,3,100,Türkiye,0,0,370548,"[""hstripe""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3004.290.30553.9/1_MidSize.jpg,3,100,Türkiye,0,0,30553,"[""ornate""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3004.290.30551.4/1_MidSize.jpg,3,100,Türkiye,0,0,30551,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3004.290.30547.8/1_MidSize.jpg,3,100,Türkiye,0,0,30547,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3004.290.30460.6/1_MidSize.jpg,3,100,Türkiye,0,0,30460,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3116.320.21208.8/1_MidSize.jpg,3,100,Türkiye,0,0,21208,"[""classic""]",embroidery,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3116.320.21207.4/1_MidSize.jpg,3,100,Türkiye,0,0,21207,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3124.290.2601.5/1_MidSize.jpg,3,100,Türkiye,0,0,2601,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3107.300.370598.119/2_MidSize.jpg,3,100,Türkiye,0,0,370598,"[""hstripe""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3107.300.370594.15/1_MidSize.jpg,3,100,Türkiye,0,0,370594,"[""polkadot""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3107.290.370459.9/1_MidSize.jpg,3,100,Türkiye,0,0,370459,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3107.290.370445.10/1_MidSize.jpg,3,100,Türkiye,0,0,370445,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3061.290.9201.16/1_MidSize.jpg,3,100,Türkiye,0,0,9201,"[""hstripe""]",,"[""sheer""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3037.300.890045.2/1_MidSize.jpg,3,100,Türkiye,0,0,890045,"[""solid""]",,"[""sheer""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3079.300.600003.2/1_MidSize.jpg,3,100,Türkiye,0,0,600003,"[""solid""]",,"[""sheer""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3116.320.21206.4/1_MidSize.jpg,3,100,Türkiye,0,0,21206,"[""classic""]",embroidery,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3116.320.21205.1/1_MidSize.jpg,3,100,Türkiye,0,0,21205,"[""classic""]",embroidery,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3123.290.5014.3021/1_MidSize.jpg,3,100,Türkiye,0,0,5014,"[""hstripe""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3107.300.370550.401/1_MidSize.jpg,3,100,Türkiye,0,0,370550,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3004.290.21099.1/1_MidSize.jpg,3,100,Türkiye,0,0,21099,"[""polkadot"",""hstripe""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3004.290.21096.3/1_MidSize.jpg,3,100,Türkiye,0,0,21096,"[""polkadot"",""hstripe""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3124.290.2604.7/1_MidSize.jpg,3,100,Türkiye,0,0,2604,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3004.290.21098.4/1_MidSize.jpg,3,100,Türkiye,0,0,21098,"[""polkadot"",""hstripe""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3004.290.21097.2/1_MidSize.jpg,3,100,Türkiye,0,0,21097,"[""polkadot"",""hstripe""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3004.290.21095.3/1_MidSize.jpg,3,100,Türkiye,0,0,21095,"[""damask"",""hstripe""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3004.290.21094.3/1_MidSize.jpg,3,100,Türkiye,0,0,21094,"[""ornate"",""hstripe""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3004.290.21093.1/1_MidSize.jpg,3,100,Türkiye,0,0,21093,"[""damask"",""hstripe""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3004.290.21092.4/1_MidSize.jpg,3,100,Türkiye,0,0,21092,"[""damask"",""hstripe""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3004.290.21090.3/1_MidSize.jpg,3,100,Türkiye,0,0,21090,"[""damask"",""hstripe""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3004.290.21089.1/1_MidSize.jpg,3,100,Türkiye,0,0,21089,"[""abstract"",""hstripe""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3004.290.21088.4/1_MidSize.jpg,3,100,Türkiye,0,0,21088,"[""hstripe""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3107.300.370596.13/1_MidSize.jpg,3,100,Türkiye,0,0,370596,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3107.300.370595.13/1_MidSize.jpg,3,100,Türkiye,0,0,370595,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3107.300.370510.13/1_MidSize.jpg,3,100,Türkiye,0,0,370510,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3037.300.2577.20/1_MidSize.jpg,3,100,Türkiye,0,0,2577,"[""vstripe""]",,"[""sheer""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3037.290.2569.13/1_MidSize.jpg,3,100,Türkiye,0,0,2569,"[""solid""]",,"[""sheer""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3079.300.60001.1/1_MidSize.jpg,3,100,Türkiye,0,0,60001,"[""solid""]",,"[""sheer""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3116.320.21201.9/1_MidSize.jpg,3,100,Türkiye,0,0,21201,"[""floral""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3005.290.21087.7/1_MidSize.jpg,3,100,Türkiye,0,0,21087,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3004.290.21086.6/1_MidSize.jpg,3,100,Türkiye,0,0,21086,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3004.290.21076.6/1_MidSize.jpg,3,100,Türkiye,0,0,21076,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
