sku,width,content,price,name,brand,style,pattern,patternType,theme,origin,abrasion,use,image,certifications,colors,leadTime,moq,railRoaded,verticalRepeat,horizontalRepeat,finish,cleaningCode
30121,300,"{""polyester"":100}",0,Marilyn,Kismet,"[""burnout""]",Damask,Burnout,Mystic,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/2001.300.30121.2/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
30120,300,"{""polyester"":100}",0,Corinne,Kismet,"[""burnout""]",Damask,Burnout,Mystic,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/2001.300.30120.1/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
30119,300,"{""polyester"":100}",0,Karen,Kismet,"[""burnout""]",Ogee,Burnout,Mystic,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/2001.300.30119.1/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
30118,300,"{""polyester"":100}",0,Elle,Kismet,"[""burnout""]",Damask,Burnout,Mystic,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/2001.300.30118.4/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
30115,300,"{""polyester"":100}",0,Lilian,Kismet,"[""burnout""]",Damask,Burnout,Mystic,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/2001.300.30115.1/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
30114,300,"{""polyester"":100}",0,Ariel,Kismet,"[""burnout""]",Print,Burnout,Mystic,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/2001.300.30114.1/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
30112,300,"{""polyester"":100}",0,Akira,Kismet,"[""burnout""]",Print,Burnout,Mystic,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/2001.300.30112.1/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
30110,300,"{""polyester"":100}",0,Valeria,Kismet,"[""burnout""]",Print,Burnout,Mystic,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/2001.300.30110.1/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
30109,300,"{""polyester"":100}",0,Jaslyn,Kismet,"[""burnout""]",Damask,Burnout,Mystic,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/2001.300.30109.14/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
30106,300,"{""polyester"":100}",0,Brittany,Kismet,"[""burnout""]",Print,Burnout,Mystic,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/2001.300.30106.24/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
